Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,-0.04,-0.04,0.28,0.23,0.06,0,-0.03,-0.04,-0.01,0.41,0.19,-0.05
1948,0.3,-0.15,-0.28,-0.03,0.17,0.04,0.01,0.03,-0.03,0.08,0.04,-0.39
1949,0.23,-0.09,0.04,-0.03,0.01,-0.2,-0.11,-0.04,-0.1,0.07,0.05,-0.14
1950,-0.29,-0.27,0.06,-0.22,-0.04,-0.06,-0.18,-0.2,-0.09,-0.06,-0.33,-0.13
1951,-0.36,-0.52,-0.18,0.06,0.17,-0.02,0.08,0.22,0.34,0.29,0.08,0.38
1952,0.17,0.17,-0.22,0.17,0.15,0.16,0.14,0.07,0.14,-0.01,-0.21,0.01
1953,0.24,0.37,0.25,0.41,0.24,0.25,0.21,0.18,0.17,0.27,0.08,0.22
1954,-0.24,0,-0.16,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11
1955,0.42,-0.13,-0.43,-0.24,-0.13,-0.1,-0.05,0.06,-0.02,0.12,-0.34,-0.29
1956,-0.04,-0.32,-0.23,-0.26,-0.3,-0.2,-0.2,-0.28,-0.32,-0.28,-0.26,-0.1
1957,-0.14,-0.06,-0.1,-0.1,-0.06,0.12,0.11,0.16,0.12,0.06,0.12,0.24
1958,0.68,0.28,0.16,0.02,0.12,0.04,0.04,0.13,0.07,0.08,0.03,0.18
1959,0.24,0.16,0.33,0.22,0.04,0.14,0.05,0.09,0.13,-0.04,0.02,0.1
1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.39
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.02,-0.04,0.08,-0.17
1962,0.28,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1
1963,0.07,0.5,-0.11,0.04,-0.05,-0.04,0.1,0.14,0.13,0.42,0.43,0.02
1964,-0.05,-0.03,-0.32,-0.3,-0.1,-0.09,-0.13,-0.23,-0.28,-0.31,-0.22,-0.27
1965,-0.02,-0.37,-0.1,-0.26,-0.13,-0.2,-0.18,-0.2,-0.2,-0.02,0.05,-0.08
1966,-0.25,0.03,0,-0.22,-0.05,0.06,0.11,0.14,0.06,-0.1,0.02,-0.03
1967,-0.17,-0.37,0.23,0.05,0.21,-0.06,0.05,0.06,-0.03,0.29,0.04,0.02
1968,-0.29,-0.16,0.44,0,-0.06,-0.04,-0.08,-0.08,-0.04,0,-0.22,-0.33
1969,-0.43,-0.45,-0.2,0.03,0.11,-0.04,0.06,0.05,0.04,0.03,0.15,0.31
1970,-0.02,0.28,-0.07,-0.02,0,0.02,-0.04,-0.05,-0.05,-0.2,0.01,-0.31
1971,-0.14,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.02,-0.13
1972,-0.54,-0.52,0.01,-0.11,-0.15,-0.1,-0.05,-0.09,-0.26,-0.04,-0.2,-0.05
1973,0.15,0.44,0.32,0.19,0.09,0.16,0.04,0.03,-0.08,-0.07,-0.09,-0.04
1974,-0.25,-0.35,0.02,-0.1,-0.19,-0.18,-0.12,-0.11,-0.16,-0.23,-0.2,-0.27
1975,0.16,0.09,0.1,0.05,-0.02,-0.08,-0.06,-0.13,-0.08,-0.18,-0.3,-0.22
1976,0.05,-0.12,-0.31,0.02,-0.26,-0.2,-0.26,-0.21,-0.12,-0.51,-0.31,-0.25
1977,-0.16,0.11,0.27,0.25,0.23,0.23,0.09,0.02,0.13,-0.02,0.28,0.02
1978,0.16,0.04,0.21,0.07,-0.06,-0.14,-0.07,-0.14,-0.01,0,0.16,0.02
1979,-0.05,-0.35,0.18,-0.17,0.01,0.08,0.05,0.04,0.19,0.23,0.24,0.55
1980,0.21,0.41,0.07,0.15,0.26,0.19,0.14,0.09,0.1,0.11,0.2,0.09
1981,0.79,0.63,0.67,0.39,0.18,0.28,0.09,0.16,0.14,0.23,0.35,0.54
1982,-0.13,0.17,0.06,0.17,0.09,0.01,0.05,-0.07,0.06,0,-0.11,0.38
1983,0.55,0.35,0.42,0.07,0.06,0.11,0.21,0.26,0.26,0.12,0.49,0.11
1984,0.34,0.03,0.18,-0.07,0.23,0.09,0.09,0.06,-0.03,0.09,-0.1,-0.42
1985,0.07,-0.29,0,-0.03,0.09,0.01,-0.07,-0.02,0.03,0.03,0.02,0.16
1986,0.36,0.31,0.26,0.15,0.2,0.14,-0.02,0.04,-0.02,0.09,0.04,0.06
1987,0.25,0.5,0,0.07,0.23,0.17,0.26,0.27,0.39,0.22,0.11,0.51
1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.43
1989,0.08,0.39,0.46,0.32,0.23,0.24,0.32,0.26,0.25,0.25,0.12,0.34
1990,0.48,0.55,1.17,0.71,0.5,0.48,0.33,0.41,0.42,0.48,0.46,0.39
1991,0.6,0.57,0.46,0.56,0.33,0.47,0.43,0.35,0.36,0.29,0.33,0.21
1992,0.61,0.5,0.55,0.16,0.19,0.05,-0.1,-0.07,-0.18,-0.17,-0.08,0.22
1993,0.39,0.52,0.39,0.23,0.32,0.22,0.12,0.03,-0.06,0.12,-0.21,0.22
1994,0.34,-0.04,0.49,0.49,0.39,0.42,0.34,0.33,0.33,0.55,0.5,0.37
1995,0.75,1.19,0.59,0.72,0.41,0.51,0.38,0.54,0.43,0.6,0.57,0.27
1996,0.27,0.55,0.32,0.18,0.35,0.25,0.29,0.19,0.04,0.05,0.35,0.35
1997,0.34,0.6,0.74,0.49,0.42,0.49,0.41,0.48,0.52,0.63,0.59,0.51
1998,0.62,1.04,0.72,0.87,0.66,0.73,0.75,0.72,0.61,0.54,0.49,0.73
1999,0.59,1,0.29,0.54,0.36,0.35,0.36,0.31,0.4,0.4,0.53,0.66
2000,0.38,0.89,0.83,0.89,0.55,0.44,0.42,0.47,0.37,0.29,0.2,0.27
2001,0.57,0.46,0.76,0.6,0.69,0.51,0.63,0.68,0.56,0.6,0.98,0.65
2002,1.02,1.14,1.11,0.51,0.52,0.68,0.66,0.55,0.62,0.54,0.79,0.42
2003,0.93,0.56,0.66,0.61,0.72,0.55,0.68,0.86,0.78,0.99,0.66,0.98
2004,0.67,0.92,0.87,0.7,0.52,0.47,0.5,0.55,0.6,0.7,0.98,0.45
2005,0.94,0.72,0.95,0.93,0.78,0.79,0.75,0.7,0.9,0.95,1.06,0.84
2006,0.66,0.96,0.78,0.6,0.76,0.81,0.7,0.69,0.82,0.96,0.95,1.16
2007,1.46,0.9,0.96,1.07,0.73,0.66,0.66,0.73,0.67,0.84,0.82,0.77
2008,0.34,0.59,1.14,0.65,0.6,0.62,0.6,0.6,0.58,0.86,0.97,0.66
2009,0.82,0.7,0.6,0.71,0.66,0.68,0.69,0.72,0.85,0.79,0.85,0.67
2010,0.81,0.94,1.1,1.13,0.94,0.85,0.89,0.87,0.71,0.9,1.21,0.5
2011,0.61,0.57,0.88,0.85,0.66,0.76,0.73,0.71,0.74,0.91,0.66,0.88
2012,0.68,0.59,0.72,1.07,0.97,0.94,0.86,0.76,0.87,0.92,0.98,0.46
2013,0.85,0.79,0.81,0.69,0.78,0.77,0.7,0.74,0.7,0.83,1.13,0.84
2014,0.97,0.72,1.2,1.09,0.91,0.82,0.77,0.91,0.84,0.94,0.81,1.11
2015,1.18,1.2,1.33,1.03,1.05,1.06,0.92,1.02,1.18,1.3,1.39,1.54
2016,1.55,1.95,1.91,1.49,1.12,1.13,1.05,1.13,1.23,1.04,1.12,1.05
2017,1.41,1.53,1.52,1.21,0.93,0.93,0.97,1.02,1.01,1.05,1.23,1.4
2018,1.15,1.25,1.18,0.98,1.02,0.87,0.91,0.87,0.97,1.25,0.98,1.11
2019,1.21,1.14,1.56,1.26,0.99,1.2,1.04,1.1,1.22,1.32,1.21,1.41
2020,1.6,1.72,1.68,1.41,1.28,1.14,1.11,1.14,1.21,1.23,1.62,1.2
1880,0.01,0.04,0.06,-0.01,-0.12,-0.24,-0.16,0.07,-0.04,-0.14,0.01,0.06
1881,-0.08,-0.06,0.1,0.1,0.09,-0.05,-0.07,-0.02,-0.04,0,0.01,0.1
1882,0.08,0.08,0.08,-0.01,-0.03,-0.15,-0.04,0.02,-0.04,0.04,0,-0.06
1883,-0.01,-0.07,-0.08,-0.06,-0.09,-0.02,-0.08,-0.05,-0.1,-0.06,-0.04,-0.05
1884,-0.08,-0.05,-0.1,-0.21,-0.31,-0.29,-0.21,-0.06,-0.11,-0.06,-0.1,-0.15
1885,-0.19,-0.22,-0.3,-0.35,-0.32,-0.42,-0.33,-0.22,-0.19,-0.13,-0.1,-0.09
1886,-0.14,-0.19,-0.16,-0.19,-0.15,-0.31,-0.21,-0.18,-0.14,-0.24,-0.14,-0.28
1887,-0.36,-0.43,-0.27,-0.3,-0.34,-0.27,-0.27,-0.16,-0.29,-0.22,-0.24,-0.22
1888,-0.2,-0.13,-0.21,-0.19,-0.29,-0.31,-0.2,-0.1,-0.05,0.06,0.07,0.15
1889,0.08,0.03,0.13,0.03,0.02,-0.13,-0.07,-0.2,-0.17,-0.1,-0.06,-0.03
1890,-0.2,-0.32,-0.33,-0.34,-0.43,-0.33,-0.32,-0.39,-0.38,-0.39,-0.24,-0.16
1891,-0.2,-0.25,-0.2,-0.19,-0.17,-0.28,-0.23,-0.22,-0.23,-0.16,-0.1,-0.05
1892,-0.08,-0.06,-0.14,-0.21,-0.23,-0.38,-0.26,-0.21,-0.13,0,-0.02,-0.11
1893,-0.12,-0.17,-0.12,-0.24,-0.24,-0.32,-0.14,-0.17,-0.16,-0.08,-0.03,-0.02
1894,-0.13,-0.15,-0.24,-0.35,-0.34,-0.4,-0.26,-0.2,-0.22,-0.17,-0.03,-0.06
1895,-0.12,-0.05,-0.16,-0.24,-0.24,-0.21,-0.14,-0.06,-0.18,-0.12,-0.2,-0.05
1896,-0.07,-0.06,-0.03,-0.01,-0.14,-0.28,-0.04,0.01,-0.01,0.09,0.13,0.13
1897,0.1,0.08,0.12,0.01,-0.15,-0.16,-0.07,-0.11,-0.1,-0.09,-0.09,-0.12
1898,-0.09,-0.15,-0.23,-0.33,-0.33,-0.29,-0.32,-0.35,-0.25,-0.32,-0.25,-0.2
1899,-0.19,-0.13,-0.13,-0.17,-0.22,-0.27,-0.15,-0.1,-0.04,-0.12,-0.09,-0.05
1900,-0.09,0.03,-0.04,-0.07,-0.13,-0.08,-0.12,-0.07,-0.06,-0.01,0.01,-0.09
1901,-0.1,-0.12,-0.14,-0.15,-0.18,-0.24,-0.29,-0.24,-0.17,-0.26,-0.12,-0.14
1902,-0.18,-0.14,-0.17,-0.17,-0.24,-0.22,-0.22,-0.3,-0.24,-0.27,-0.25,-0.22
1903,-0.24,-0.22,-0.3,-0.35,-0.36,-0.39,-0.27,-0.35,-0.5,-0.47,-0.43,-0.46
1904,-0.5,-0.56,-0.56,-0.5,-0.59,-0.48,-0.42,-0.43,-0.47,-0.38,-0.25,-0.31
1905,-0.27,-0.35,-0.2,-0.2,-0.28,-0.27,-0.3,-0.16,-0.17,-0.21,-0.2,-0.07
1906,0.02,-0.04,-0.16,-0.14,-0.26,-0.27,-0.18,-0.22,-0.32,-0.23,-0.34,-0.33
1907,-0.27,-0.29,-0.23,-0.28,-0.33,-0.32,-0.29,-0.29,-0.27,-0.25,-0.35,-0.35
1908,-0.34,-0.37,-0.39,-0.4,-0.45,-0.46,-0.34,-0.35,-0.41,-0.43,-0.4,-0.43
1909,-0.5,-0.46,-0.41,-0.52,-0.59,-0.51,-0.45,-0.32,-0.41,-0.46,-0.52,-0.55
1910,-0.49,-0.45,-0.52,-0.44,-0.38,-0.32,-0.3,-0.33,-0.34,-0.5,-0.52,-0.52
1911,-0.52,-0.55,-0.57,-0.6,-0.57,-0.65,-0.45,-0.44,-0.43,-0.32,-0.2,-0.1
1912,-0.13,-0.11,-0.13,-0.17,-0.28,-0.31,-0.31,-0.29,-0.33,-0.29,-0.24,-0.28
1913,-0.23,-0.24,-0.37,-0.28,-0.32,-0.39,-0.19,-0.2,-0.26,-0.24,-0.23,-0.13
1914,-0.07,-0.08,-0.11,-0.18,-0.22,-0.27,-0.12,-0.04,-0.03,-0.04,-0.07,-0.01
1915,-0.12,0.03,0.05,0.07,-0.09,-0.29,-0.13,-0.26,-0.19,-0.2,-0.22,-0.17
1916,-0.15,-0.12,-0.17,-0.26,-0.32,-0.47,-0.4,-0.19,-0.23,-0.31,-0.46,-0.51
1917,-0.62,-0.58,-0.53,-0.46,-0.38,-0.38,-0.18,-0.06,-0.15,-0.26,-0.35,-0.28
1918,-0.26,-0.23,-0.25,-0.29,-0.37,-0.28,-0.28,-0.26,-0.09,-0.06,0.03,0
1919,0,-0.05,-0.02,-0.01,-0.13,-0.31,-0.25,-0.36,-0.31,-0.3,-0.33,-0.27
1920,-0.32,-0.22,-0.24,-0.26,-0.31,-0.44,-0.33,-0.2,-0.07,-0.12,-0.07,-0.2
1921,-0.27,-0.27,-0.36,-0.43,-0.35,-0.38,-0.25,-0.21,-0.19,-0.04,-0.16,-0.21
1922,-0.27,-0.25,-0.19,-0.29,-0.47,-0.45,-0.27,-0.29,-0.29,-0.33,-0.16,-0.23
1923,-0.36,-0.31,-0.29,-0.28,-0.28,-0.33,-0.32,-0.37,-0.43,-0.31,-0.19,-0.16
1924,-0.15,-0.24,-0.18,-0.32,-0.29,-0.31,-0.34,-0.45,-0.41,-0.46,-0.52,-0.5
1925,-0.49,-0.42,-0.32,-0.34,-0.35,-0.38,-0.26,-0.2,-0.32,-0.23,-0.1,-0.07
1926,-0.1,-0.12,-0.14,-0.1,-0.21,-0.28,-0.32,-0.18,-0.23,-0.26,-0.27,-0.27
1927,-0.24,-0.27,-0.3,-0.34,-0.37,-0.4,-0.29,-0.3,-0.26,-0.24,-0.18,-0.25
1928,-0.28,-0.26,-0.26,-0.23,-0.41,-0.43,-0.28,-0.25,-0.26,-0.29,-0.22,-0.28
1929,-0.32,-0.36,-0.46,-0.46,-0.48,-0.46,-0.38,-0.43,-0.29,-0.26,-0.18,-0.4
1930,-0.46,-0.34,-0.32,-0.33,-0.28,-0.31,-0.37,-0.3,-0.28,-0.23,-0.07,-0.16
1931,-0.18,-0.15,-0.12,-0.23,-0.22,-0.28,-0.14,-0.16,-0.29,-0.25,-0.35,-0.2
1932,-0.09,-0.15,-0.16,-0.21,-0.25,-0.42,-0.34,-0.35,-0.31,-0.31,-0.21,-0.3
1933,-0.27,-0.28,-0.27,-0.31,-0.32,-0.36,-0.3,-0.33,-0.31,-0.33,-0.38,-0.35
1934,-0.29,-0.4,-0.33,-0.32,-0.27,-0.27,-0.16,-0.13,-0.16,-0.26,-0.2,-0.22
1935,-0.26,-0.3,-0.32,-0.38,-0.29,-0.38,-0.37,-0.36,-0.35,-0.21,-0.18,-0.16
1936,-0.25,-0.24,-0.29,-0.33,-0.32,-0.47,-0.28,-0.28,-0.24,-0.12,-0.12,-0.17
1937,-0.23,-0.18,-0.17,-0.24,-0.22,-0.23,-0.2,-0.11,-0.1,-0.15,-0.07,-0.13
1938,-0.19,-0.21,-0.16,-0.2,-0.23,-0.28,-0.18,-0.21,-0.16,-0.05,-0.17,-0.13
1939,-0.15,-0.14,-0.13,-0.13,-0.1,-0.13,-0.15,-0.19,-0.27,-0.15,-0.1,0.1
1940,0.12,0.04,0.17,0.08,0.07,0.07,0.09,0.08,0.07,-0.03,0.06,0.29
1941,0.2,0.17,0.1,0.22,0.14,0.08,0.21,0.13,-0.03,0.22,0.29,0.25
1942,0.18,0.13,0.11,0.1,0.06,0,0,0,-0.17,-0.26,-0.09,-0.04
1943,0.07,-0.05,-0.08,-0.11,-0.1,-0.04,0.18,-0.08,-0.04,-0.01,0.03,0.08
1944,0.08,0.04,0.21,0.21,0.14,0.16,0.23,0.22,0.2,0.08,0.03,0.09
1945,0.1,0.08,0.03,0.09,0.05,-0.05,0.02,0.24,0.21,0.13,0.07,0.09
1946,-0.03,-0.03,-0.09,-0.2,-0.17,-0.38,-0.21,-0.31,-0.12,-0.17,-0.18,-0.15
1947,-0.08,-0.12,-0.16,-0.11,-0.09,-0.03,-0.05,-0.1,-0.24,-0.27,-0.15,-0.22
1948,-0.18,-0.14,-0.21,-0.2,-0.17,-0.15,-0.23,-0.26,-0.26,-0.18,-0.28,-0.08
1949,-0.1,-0.19,-0.08,-0.19,-0.2,-0.34,-0.15,-0.21,-0.19,-0.2,-0.25,-0.22
1950,-0.23,-0.27,-0.22,-0.2,-0.19,-0.05,-0.01,-0.12,-0.15,-0.35,-0.35,-0.32
1951,-0.33,-0.32,-0.22,-0.35,-0.18,-0.11,-0.09,-0.1,-0.21,-0.11,-0.08,-0.06
1952,0.07,0.06,0.07,-0.1,-0.19,-0.21,-0.05,0.02,0,0.01,-0.05,-0.04
1953,-0.08,-0.07,-0.03,-0.01,-0.01,-0.01,-0.19,-0.07,-0.08,-0.1,-0.12,-0.12
1954,-0.23,-0.19,-0.12,-0.27,-0.33,-0.33,-0.28,-0.34,-0.29,-0.18,-0.2,-0.26
1955,-0.17,-0.19,-0.22,-0.21,-0.29,-0.19,-0.19,-0.05,-0.22,-0.24,-0.19,-0.29
1956,-0.22,-0.17,-0.19,-0.29,-0.29,-0.13,0,-0.24,-0.07,-0.19,-0.05,-0.03
1957,-0.04,-0.01,0,0.09,0.23,0.19,-0.06,0.14,0.05,-0.03,0.04,0.07
1958,0.1,0.16,0.01,0.01,0,-0.2,0.06,-0.21,-0.11,0.01,0.02,-0.15
1959,-0.08,-0.02,0.03,0.09,0.05,-0.07,0.02,-0.11,-0.25,-0.1,-0.17,-0.1
1960,-0.15,-0.15,-0.29,-0.17,-0.18,-0.26,-0.16,-0.07,0.02,0.06,-0.14,-0.02
1961,-0.03,0.08,-0.03,0.12,0.17,0.05,-0.04,-0.03,0.19,0.04,-0.01,-0.16
1962,-0.17,-0.07,-0.09,-0.13,-0.15,0.19,-0.06,-0.06,0.03,-0.1,0,-0.15
1963,-0.14,-0.14,-0.16,-0.19,-0.07,0.13,0.02,0.3,0.22,-0.12,-0.12,-0.08
1964,-0.13,-0.17,-0.1,-0.33,-0.4,0.01,0.04,-0.21,-0.31,-0.32,-0.21,-0.33
1965,-0.15,0.02,-0.16,-0.12,-0.1,0.04,-0.08,0.12,-0.1,-0.08,-0.15,-0.07
1966,-0.13,-0.12,0.08,-0.04,-0.19,-0.04,0.06,-0.3,-0.12,-0.23,-0.03,-0.02
1967,0.03,-0.04,-0.14,-0.15,0.04,-0.1,-0.01,-0.06,-0.1,-0.12,-0.14,-0.13
1968,-0.24,-0.13,-0.05,-0.12,-0.23,-0.14,-0.17,-0.09,-0.32,0.18,0.12,0.05
1969,0.22,0.12,0.22,0.31,0.26,0.12,-0.13,0.03,0.14,0.17,0.1,0.19
1970,0.2,0.17,0.19,0.13,-0.06,-0.06,0.07,-0.15,0.27,0.25,0.02,0.06
1971,0.09,-0.11,-0.08,0.06,0.01,-0.2,-0.03,0.13,0.02,0.06,-0.14,-0.04
1972,0.09,0.17,0.04,0.12,0.09,0.18,0.08,0.4,0.3,0.21,0.25,0.42
1973,0.43,0.21,0.26,0.36,0.36,0.21,0.21,0.08,0.26,0.27,0.18,-0.1
1974,0.05,-0.18,-0.14,-0.14,0.11,0.08,0.06,0.31,0.01,0.11,0.05,0.09
1975,0.03,0.06,0.14,0.02,0.32,0.05,0.04,-0.2,0.02,-0.06,-0.05,-0.13
1976,-0.12,-0.01,-0.12,-0.17,-0.16,-0.05,0.07,-0.03,-0.01,0.03,0.21,0.47
1977,0.53,0.34,0.22,0.27,0.42,0.31,0.32,0.33,-0.08,0.09,0.06,0.04
1978,-0.03,0.16,0.17,0.26,0.24,0.11,0.16,-0.12,0.12,0.06,0.11,0.14
1979,0.22,0.16,0.2,0.47,0.06,0.2,0.03,0.29,0.31,0.29,0.33,0.41
1980,0.38,0.38,0.53,0.45,0.44,0.22,0.31,0.28,0.31,0.15,0.38,0.34
1981,0.25,0.21,0.28,0.25,0.31,0.3,0.54,0.53,0.16,0.02,0.11,0.28
1982,0.24,0.14,0.01,0.13,0.27,0.11,0.25,0.15,0.23,0.27,0.47,0.47
1983,0.51,0.51,0.41,0.49,0.63,0.35,0.17,0.45,0.48,0.22,0.12,0.22
1984,0.28,0.26,0.35,0.19,0.42,-0.04,0.3,0.33,0.45,0.19,0.24,0.33
1985,0.36,0.22,0.35,0.27,0.2,0.29,0.15,0.34,0.23,0.21,0.08,0.12
1986,0.16,0.42,0.34,0.29,0.23,0.1,0.25,0.27,0.09,0.22,0.16,0.2
1987,0.39,0.36,0.37,0.43,0.29,0.53,0.56,0.24,0.33,0.44,0.49,0.42
1988,0.54,0.43,0.56,0.41,0.45,0.39,0.24,0.52,0.46,0.51,0.18,0.14
1989,0.16,0.19,0.25,0.25,0.12,0.09,0.36,0.4,0.45,0.33,0.27,0.4
1990,0.35,0.33,0.42,0.42,0.41,0.28,0.58,0.28,0.05,0.41,0.48,0.43
1991,0.26,0.42,0.25,0.46,0.36,0.58,0.52,0.43,0.52,0.29,0.27,0.43
1992,0.34,0.3,0.41,0.39,0.44,0.47,0.27,0.24,0.17,0.29,0.14,0.21
1993,0.3,0.21,0.33,0.32,0.26,0.25,0.38,0.2,0.3,0.34,0.29,0.15
1994,0.19,0.1,0.08,0.34,0.18,0.45,0.27,0.11,0.31,0.3,0.39,0.4
1995,0.29,0.38,0.35,0.21,0.13,0.37,0.53,0.37,0.25,0.35,0.31,0.24
1996,0.21,0.37,0.34,0.46,0.21,0.26,0.43,0.76,0.45,0.34,0.41,0.39
1997,0.25,0.21,0.29,0.19,0.26,0.59,0.28,0.36,0.53,0.6,0.71,0.68
1998,0.55,0.72,0.55,0.4,0.7,0.81,0.59,0.59,0.23,0.3,0.38,0.36
1999,0.38,0.27,0.36,0.09,0.17,0.38,0.41,0.33,0.36,0.28,0.21,0.16
2000,0.11,0.22,0.27,0.23,0.17,0.35,0.35,0.36,0.4,0.27,0.41,0.3
2001,0.35,0.42,0.35,0.42,0.46,0.52,0.55,0.33,0.47,0.41,0.47,0.47
2002,0.52,0.42,0.64,0.66,0.75,0.38,0.56,0.52,0.62,0.56,0.4,0.47
2003,0.57,0.6,0.53,0.5,0.5,0.42,0.5,0.44,0.47,0.49,0.42,0.52
2004,0.5,0.53,0.4,0.52,0.24,0.41,0.05,0.4,0.41,0.52,0.48,0.58
2005,0.55,0.48,0.55,0.43,0.48,0.51,0.5,0.54,0.52,0.55,0.42,0.52
2006,0.47,0.51,0.48,0.37,0.23,0.5,0.41,0.72,0.48,0.44,0.53,0.43
2007,0.58,0.5,0.5,0.47,0.66,0.58,0.55,0.46,0.52,0.33,0.36,0.22
2008,0.27,0.17,0.34,0.42,0.38,0.37,0.6,0.36,0.64,0.48,0.42,0.43
2009,0.47,0.36,0.49,0.51,0.64,0.62,0.8,0.64,0.61,0.52,0.78,0.7
2010,0.7,0.73,0.75,0.56,0.57,0.51,0.37,0.49,0.56,0.52,0.42,0.39
2011,0.41,0.39,0.41,0.44,0.39,0.47,0.68,0.77,0.4,0.41,0.5,0.32
2012,0.3,0.4,0.43,0.36,0.59,0.36,0.32,0.52,0.58,0.67,0.59,0.61
2013,0.56,0.46,0.55,0.41,0.44,0.62,0.51,0.66,0.84,0.55,0.54,0.55
2014,0.53,0.38,0.37,0.52,0.83,0.55,0.4,0.73,0.91,0.68,0.54,0.48
2015,0.52,0.61,0.58,0.48,0.56,0.59,0.57,0.61,0.55,0.9,0.75,0.79
2016,0.8,0.79,0.79,0.74,0.81,0.51,0.67,0.92,0.6,0.74,0.7,0.69
2017,0.65,0.76,0.8,0.69,0.9,0.53,0.67,0.73,0.55,0.75,0.53,0.47
2018,0.48,0.45,0.61,0.8,0.63,0.69,0.75,0.65,0.64,0.79,0.69,0.74
2019,0.66,0.78,0.8,0.77,0.73,0.65,0.86,0.79,0.64,0.72,0.81,0.79
2020,0.74,0.78,0.68,0.86,0.76,0.71,0.69,0.62,0.78,0.56,0.6,0.43